timestamp,src_ip,dst_ip,status,risk
2026-02-22 21:06:23,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:23,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:23,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:23,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:23,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:21,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:20,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:20,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:20,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:20,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:20,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:20,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:18,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:17,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:17,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:17,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:17,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:17,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:17,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:17,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:17,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:13,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:13,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:13,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:12,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:12,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:12,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:12,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:11,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:11,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:11,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:10,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:10,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:09,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:09,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:09,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:09,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:09,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:09,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:08,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:08,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:07,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:07,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:07,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:07,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:07,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:06,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:04,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:04,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:03,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:03,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:03,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:03,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:03,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:03,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:59,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:05:59,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:58,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:05:58,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:05:58,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:05:58,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:58,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:58,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:58,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:58,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:58,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:58,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:05:41,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:05:41,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:05:14,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:05:14,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:47,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:04:47,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:20,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:20,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:20,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:04:20,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:04:20,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:20,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:16,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:16,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:16,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:16,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:16,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:16,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:04:16,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:15,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:13,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:04:13,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:12,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:12,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:12,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:12,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:12,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:12,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:08,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:04:08,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:07,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:07,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:07,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:07,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:07,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:07,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:02,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:02,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:02,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:02,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:04:02,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:01,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:04:01,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:04:01,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:03:54,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:03:54,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:03:54,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:03:54,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:03:54,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:03:54,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:03:54,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:03:54,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:03:54,10.0.2.15,142.250.202.202,Anomaly Detected!,High
2026-02-22 21:03:54,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:03:54,142.250.202.202,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:03:54,10.0.2.15,142.250.202.202,Anomaly Detected!,High
